lambda_um,T_front_TE,T_front_TM,IL_front_TE_dB,IL_front_TM_dB,ER_TE_dB,ER_TM_dB
1.600000000000000089e+00,3.490708072141255336e-01,7.353209052858643568e-01,4.570864697075727179e+00,1.335230867941607835e+00,4.919781554590553441e+00,1.296633967100866869e+01
1.589403973509933898e+00,4.335336536962138831e-01,7.348002862255597067e-01,3.629771841225639228e+00,1.338306831961735499e+00,3.965642724302597788e+00,1.306687665466226278e+01
1.578947368421052655e+00,5.008156701393681187e-01,7.595182300124000419e-01,3.003220908427777225e+00,1.194617977080084437e+00,4.817304469057201999e+00,1.339213446339582170e+01
1.568627450980392357e+00,7.426787977463957802e-01,8.235322586062026051e-01,1.291989742979205991e+00,8.431938439917373573e-01,1.131672919819233236e+01,1.572692464363966813e+01
1.558441558441558517e+00,8.854902111227934691e-01,9.010599244923938045e-01,5.281623546639998557e-01,4.524632554593893130e-01,1.818307140726103910e+01,1.820017228777486906e+01
1.548387096774193727e+00,9.218663306447686390e-01,9.323069402371234604e-01,3.533204648638527678e-01,3.044108281179934150e-01,2.079733269261583217e+01,1.933508701453952838e+01
1.538461538461538769e+00,8.735276255328218165e-01,9.264734730906156734e-01,5.872335579066866318e-01,3.316701094335031130e-01,1.598407396168854433e+01,1.934516715752504723e+01
1.528662420382165932e+00,7.147844004342781554e-01,8.807452150544832215e-01,1.458249341731641335e+00,5.514970759160101599e-01,1.059937568923412243e+01,1.763642421398872884e+01
1.518987341772152222e+00,5.675431855273350701e-01,8.006455454033634123e-01,2.460010865178539952e+00,9.655970831692202161e-01,8.063258991526144115e+00,1.448637210021041710e+01
1.509433962264151274e+00,5.406834660886319366e-01,6.443661640292691617e-01,2.670569107947474485e+00,1.908672726618609650e+00,8.487113200315388184e+00,1.092398260958145961e+01
1.500000000000000444e+00,5.066901847654614599e-01,5.918079655210652934e-01,2.952575084653687565e+00,2.278191936894732983e+00,7.996996923187365880e+00,8.158076518025795920e+00
