lambda_um,T_top_TE,T_bottom_TE,T_top_TM,T_bottom_TM,IL_top_TE_dB,IL_bottom_TM_dB,XT_TE_dB,XT_TM_dB
1.600000000000000089e+00,6.877181974482913240e-01,5.119905221996751132e-02,4.802998171089432194e-02,7.651318069599961635e-01,1.625894838056917369e+00,1.162637437946481667e+00,-1.128148594661452364e+01,-1.202223834939832159e+01
1.589403973509933898e+00,7.349416168175176844e-01,5.747151587909318099e-02,6.060884209675157508e-02,7.725572102007397524e-01,1.337471595567188087e+00,1.120693498908253316e+00,-1.106800188129330564e+01,-1.105394663011043122e+01
1.578947368421052655e+00,8.236703906766568162e-01,4.715611212162008209e-02,5.906240130234467756e-02,7.812792046541741087e-01,8.424654576436596543e-01,1.071937351735079424e+00,-1.242215462599581244e+01,-1.121495164711409487e+01
1.568627450980392357e+00,8.860889691377747956e-01,3.644624156304368534e-02,3.894368556952456512e-02,8.728783022173839390e-01,5.252266991234456617e-01,5.904630195270266224e-01,-1.385824580769949854e+01,-1.350516647967926964e+01
1.558441558441558517e+00,9.309647767230733173e-01,1.900030227764520560e-02,1.605314771093301410e-02,9.336451118811388561e-01,3.106675034431602422e-01,2.981817220720231476e-01,-1.690172739415476499e+01,-1.764621625977250829e+01
1.548387096774193727e+00,9.513969978626104496e-01,6.640991160990882686e-03,9.133583224125310998e-03,9.478510212337961649e-01,2.163822333209278748e-01,2.325991766244971115e-01,-2.156128874465273526e+01,-2.016098891970048612e+01
1.538461538461538769e+00,9.296779754542785490e-01,1.754870184498153254e-02,1.661416899813852183e-02,9.277082468473618615e-01,3.166745757711334486e-01,3.258858273163875441e-01,-1.724087547115150088e+01,-1.746932793504741355e+01
1.528662420382165932e+00,8.510844232730397918e-01,6.666296285603569294e-02,2.618854924634941503e-02,8.881406679873947718e-01,7.002735796112814493e-01,5.151824312626241964e-01,-1.106088029933120254e+01,-1.530370316171641321e+01
1.518987341772152222e+00,7.368375131755799945e-01,1.381219251342176157e-01,3.649083869294660748e-02,8.392161497538117576e-01,1.326282718578544184e+00,7.612616723409064701e-01,-7.271091052554933043e+00,-1.361689987611345387e+01
1.509433962264151274e+00,6.207669141592011552e-01,2.275497007147048445e-01,4.787951557899586263e-02,7.721285939847807311e-01,2.070714383043188000e+00,1.123103641627481331e+00,-4.358522930604628698e+00,-1.207539888055681843e+01
1.500000000000000444e+00,5.269464658522272638e-01,2.932272606887280642e-01,7.639202982534226694e-02,6.962959290814036972e-01,2.782335038878904321e+00,1.572061439349338841e+00,-2.545621528711971671e+00,-9.597458061737153656e+00
