lambda_um,T_front_TE,T_front_TM,IL_front_TE_dB,IL_front_TM_dB,ER_TE_dB,ER_TM_dB
1.600000000000000089e+00,3.612814977618817869e-01,7.087931983928856816e-01,4.421542793001545846e+00,1.494804586077588260e+00,9.866890187178894989e-01,1.018725249039052017e+01
1.597337770382695643e+00,3.679243698423538267e-01,7.213623163502805857e-01,4.342414452823800453e+00,1.418465487775597555e+00,9.881082471510677090e-01,9.903886455184270687e+00
1.594684385382059810e+00,3.781438705222485708e-01,7.395773110006463869e-01,4.223429348551767326e+00,1.310164207394266089e+00,1.168072483858981325e+00,9.884986426550941729e+00
1.592039800995024734e+00,3.881728293991557610e-01,7.574724777703764067e-01,4.109748668224259660e+00,1.206331423234791478e+00,1.375219728698621191e+00,1.002432113784504963e+01
1.589403973509933898e+00,3.972902384289211386e-01,7.731921200372239289e-01,4.008921055928515997e+00,1.117125807192605125e+00,1.679900153281949970e+00,1.023682159561577976e+01
1.586776859504132497e+00,4.119638598450606759e-01,7.868765636120821361e-01,3.851408814384663870e+00,1.040933895553067590e+00,2.213008679360194186e+00,1.047034185730861999e+01
1.584158415841584233e+00,4.334897161830463252e-01,7.990334272276468086e-01,3.630212009742347590e+00,9.743505177881667256e-01,2.948040432471641381e+00,1.070025796589077594e+01
1.581548599670510535e+00,4.692262161055937297e-01,8.098542830799619896e-01,3.286177314415661410e+00,9.159311661183748843e-01,4.002503286101029900e+00,1.092034366447649063e+01
1.578947368421052655e+00,5.319422132726343566e-01,8.191766101326283245e-01,2.741355440582044167e+00,8.662245655788319842e-01,5.593683645857066011e+00,1.113400336543744551e+01
1.576354679802955960e+00,6.175522479273083398e-01,8.266956289526652402e-01,2.093262930859325355e+00,8.265435864264834009e-01,7.668148441692651751e+00,1.134770534073314074e+01
1.573770491803278881e+00,7.032820995338756598e-01,8.321714160967789153e-01,1.528704364364391610e+00,7.978720568394682688e-01,9.891582386250245662e+00,1.156721818333847551e+01
1.571194762684124280e+00,7.691206501890932579e-01,8.355311708828604411e-01,1.140055280771195445e+00,7.803734338889909417e-01,1.186067006202214813e+01,1.179617062128656002e+01
1.568627450980392357e+00,8.116987229793736214e-01,8.368688054157757961e-01,9.060513729450292431e-01,7.734262032197771752e-01,1.333193985250451163e+01,1.203598800026468574e+01
1.566068515497553326e+00,8.377335686752255262e-01,8.363864829665873524e-01,7.689408167074236466e-01,7.759299453018925208e-01,1.433141116095156420e+01,1.228638139038455890e+01
1.563517915309446282e+00,8.535957193685131950e-01,8.343227039316762905e-01,6.874777148810290450e-01,7.866593805577590803e-01,1.500454233703072759e+01,1.254590397728392936e+01
1.560975609756097615e+00,8.631332794717648804e-01,8.308937861780584244e-01,6.392213815502874041e-01,8.045448888128017284e-01,1.548096176668122048e+01,1.281237372190765988e+01
