lambda_um,T_front_TE,T_front_TM,IL_front_TE_dB,IL_front_TM_dB,ER_TE_dB,ER_TM_dB
1.600000000000000089e+00,3.490708072141255336e-01,7.353209052858643568e-01,4.570864697075727179e+00,1.335230867941607835e+00,4.919781554590553441e+00,1.296633967100866869e+01
1.597337770382695643e+00,3.773300007292987313e-01,6.928787525609768627e-01,4.232786635686483834e+00,1.593427562982922652e+00,4.765915094869869861e+00,1.324525083408916259e+01
1.594684385382059810e+00,3.999956512074668846e-01,6.945607004014585639e-01,3.979447303392047885e+00,1.582897935585669824e+00,4.425508701673875223e+00,1.331704416082105702e+01
1.592039800995024734e+00,4.180834542694322198e-01,7.146278962044797511e-01,3.787370193945048147e+00,1.459200346894076183e+00,4.147892919217051499e+00,1.321717573282963087e+01
1.589403973509933898e+00,4.335336536962138831e-01,7.348002862255597067e-01,3.629771841225639228e+00,1.338306831961735499e+00,3.965642724302597788e+00,1.306687665466226278e+01
1.586776859504132497e+00,4.459222231477525389e-01,7.473426107701517385e-01,3.507408834477905746e+00,1.264802551387531393e+00,3.853767641653011555e+00,1.296528675428858435e+01
1.584158415841584233e+00,4.582838591557362729e-01,7.527608751339159854e-01,3.388654384197130831e+00,1.233429615189123529e+00,3.913017953792288228e+00,1.296903276066263544e+01
1.581548599670510535e+00,4.752983218708242141e-01,7.553210603689612945e-01,3.230337190600227615e+00,1.218684058436606765e+00,4.219147540715393774e+00,1.310725914615260024e+01
1.578947368421052655e+00,5.008156701393681187e-01,7.595182300124000419e-01,3.003220908427777225e+00,1.194617977080084437e+00,4.817304469057201999e+00,1.339213446339582170e+01
1.576354679802955960e+00,5.412760865206043270e-01,7.683047973563852384e-01,2.665811595366051279e+00,1.144664550340852127e+00,5.827809842740578894e+00,1.382113240502938112e+01
1.573770491803278881e+00,6.011400960739607946e-01,7.826190237511900794e-01,2.210243036019813534e+00,1.064495995611351553e+00,7.335526663044262818e+00,1.437646006843142032e+01
1.571194762684124280e+00,6.734392792387408067e-01,8.016583849684805196e-01,1.717015564077735146e+00,9.601066055584244197e-01,9.243047637216738721e+00,1.502593591214991520e+01
1.568627450980392357e+00,7.426787977463957802e-01,8.235322586062026051e-01,1.291989742979205991e+00,8.431938439917373573e-01,1.131672919819233236e+01,1.572692464363966813e+01
1.566068515497553326e+00,7.974798415962499609e-01,8.460185218004772079e-01,9.828028606910167442e-01,7.262012889042185337e-01,1.331879575255182679e+01,1.643277090844301824e+01
1.563517915309446282e+00,8.368260269175556987e-01,8.671861761981971561e-01,7.736482086339808717e-01,6.188765383231802364e-01,1.512365358454953501e+01,1.710017957164131630e+01
1.560975609756097615e+00,8.649487286539264685e-01,8.857374530184213279e-01,6.300963533590258070e-01,5.269499098288414896e-01,1.673383913805245271e+01,1.769578122411899557e+01
1.558441558441558517e+00,8.854902111227934691e-01,9.010599244923938045e-01,5.281623546639998557e-01,4.524632554593893130e-01,1.818307140726103910e+01,1.820017228777486906e+01
1.555915721231766913e+00,9.007060375049940060e-01,9.130829467999093119e-01,4.541692613565264658e-01,3.948976824750132786e-01,1.945654090889987486e+01,1.860824011056843119e+01
1.553398058252427383e+00,9.118434659508612983e-01,9.220586778739030542e-01,4.007970959766078423e-01,3.524144048002435525e-01,2.045168610205846704e+01,1.892585764793097525e+01
1.550888529886914391e+00,9.190632997720364905e-01,9.283557547480544292e-01,3.665457588812410794e-01,3.228556611214083438e-01,2.096319141719909140e+01,1.916441150864210385e+01
1.548387096774193727e+00,9.218663306447686390e-01,9.323069402371234604e-01,3.533204648638527678e-01,3.044108281179934150e-01,2.079733269261583217e+01,1.933508701453952838e+01
1.545893719806763711e+00,9.195045015695140211e-01,9.341186492099953220e-01,3.644614026819373853e-01,2.959795736249003495e-01,1.998236396292311667e+01,1.944425492365808594e+01
1.543408360128617485e+00,9.110746710158097450e-01,9.338358630265491955e-01,4.044602710916336830e-01,2.972945144241847526e-01,1.876274837743974899e+01,1.949049296983931256e+01
1.540930979133226408e+00,8.958500208057911252e-01,9.313542334377438170e-01,4.776469188749224992e-01,3.088510702363422289e-01,1.738524212573255312e+01,1.946346825684501880e+01
1.538461538461538769e+00,8.735276255328218165e-01,9.264734730906156734e-01,5.872335579066866318e-01,3.316701094335031130e-01,1.598407396168854433e+01,1.934516715752504723e+01
1.536000000000000254e+00,8.440168732242757654e-01,9.189851559564130579e-01,7.364887105805846268e-01,3.669150356305542204e-01,1.460051188215548379e+01,1.911419471596652642e+01
1.533546325878594407e+00,8.073125737153891146e-01,9.087790299978975028e-01,9.295828342307910219e-01,4.154170282723685381e-01,1.323265421793785279e+01,1.875311637389552288e+01
1.531100478468899517e+00,7.637226604819181697e-01,8.959344869609682238e-01,1.170643232166346026e+00,4.772374590881103829e-01,1.188248047507065053e+01,1.825664892007238294e+01
1.528662420382165932e+00,7.147844004342781554e-01,8.807452150544832215e-01,1.458249341731641335e+00,5.514970759160101599e-01,1.059937568923412243e+01,1.763642421398872884e+01
1.526232114467408918e+00,6.648678738028278579e-01,8.636211539589178088e-01,1.772646515082793028e+00,6.367672838607978392e-01,9.489326895737839607e+00,1.691890013998938969e+01
1.523809523809524169e+00,6.208064169111940922e-01,8.448404106311194761e-01,2.070438026797656761e+00,7.322532102431613676e-01,8.670257401847493384e+00,1.613708230175372549e+01
1.521394611727416857e+00,5.880882022767436323e-01,8.241916795924427719e-01,2.305575329555587416e+00,8.397177409355724986e-01,8.205584602702316488e+00,1.532029764577228725e+01
1.518987341772152222e+00,5.675431855273350701e-01,8.006455454033634123e-01,2.460010865178539952e+00,9.655970831692202161e-01,8.063258991526144115e+00,1.448637210021041710e+01
1.516587677725118821e+00,5.560532866544576347e-01,7.723029888947572363e-01,2.548835879303535279e+00,1.122122843925125180e+00,8.132440396232773594e+00,1.363853590721742037e+01
