lambda_um,T_front_TE,T_front_TM,IL_front_TE_dB,IL_front_TM_dB,ER_TE_dB,ER_TM_dB
1.600000000000000089e+00,3.637095224079676115e-01,7.460861710426733850e-01,4.392453283786193374e+00,1.272110097296311748e+00,1.084274470919860178e+00,1.075854700758237747e+01
1.589403973509933898e+00,4.019682169892163093e-01,7.720380315992878550e-01,3.958082845570364938e+00,1.123613052253005673e+00,1.547537924380560037e+00,1.033036921841075539e+01
1.578947368421052655e+00,5.004421839854463760e-01,8.112512346589799694e-01,3.006460892665010931e+00,9.084462922988066902e-01,4.471828904177854724e+00,1.107589377745978965e+01
1.568627450980392357e+00,7.904405272058447895e-01,8.281259679012389352e-01,1.021308008462279648e+00,8.190359678590997117e-01,1.195463134673140004e+01,1.208833154255540343e+01
1.558441558441558517e+00,8.723473912604962077e-01,8.197668733206293634e-01,5.931053334344201788e-01,8.630963545198058195e-01,1.545623561820286973e+01,1.335652418647905648e+01
1.548387096774193727e+00,8.906782880352471787e-01,7.922233488350512998e-01,5.027913430314555621e-01,1.011523619812204400e+00,1.772272918538675057e+01,1.466654924259407800e+01
1.538461538461538769e+00,8.314761265491539266e-01,7.448519100073989208e-01,8.015021578518383150e-01,1.279300642445204250e+00,1.529392428700331941e+01,1.554654005574957587e+01
1.528662420382165932e+00,6.744503618880419715e-01,6.697657392632708762e-01,1.710500079659705186e+00,1.740770718296878794e+00,1.044422863064697538e+01,1.470743117298413161e+01
1.518987341772152222e+00,5.690756298086893095e-01,5.624423468851967867e-01,2.448300122940260781e+00,2.499219882616861010e+00,9.764832841128260554e+00,1.122870561697594916e+01
1.509433962264151274e+00,5.089282221244693094e-01,4.536197159046280181e-01,2.933434650766439944e+00,3.433080777427850894e+00,8.941926295819973447e+00,7.814961875152299342e+00
1.500000000000000444e+00,4.283060358968676096e-01,3.942336040565988520e-01,3.682458052713453167e+00,4.042463596751910693e+00,8.173035627940507197e+00,5.239092992679701410e+00
